FR-V,JA-V
9.642857142857143060e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.785714285714286120e+01,9.642857142857143060e+01
9.500000000000000000e+01,9.928571428571429180e+01
9.500000000000000000e+01,1.000000000000000000e+02
9.785714285714286120e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.785714285714286120e+01
1.000000000000000000e+02,9.571428571428570820e+01
1.000000000000000000e+02,9.785714285714286120e+01
9.928571428571429180e+01,9.642857142857143060e+01
9.571428571428570820e+01,9.928571428571429180e+01
9.785714285714286120e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.928571428571429180e+01,9.642857142857143060e+01
9.928571428571429180e+01,9.142857142857143060e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.214285714285713880e+01,9.785714285714286120e+01
9.428571428571429180e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.357142857142856940e+01
9.785714285714286120e+01,9.857142857142856940e+01
9.785714285714286120e+01,9.785714285714286120e+01
9.928571428571429180e+01,9.642857142857143060e+01
9.785714285714286120e+01,9.642857142857143060e+01
5.000000000000000000e+00,7.142857142857143016e-01
9.928571428571429180e+01,9.642857142857143060e+01
9.571428571428570820e+01,9.928571428571429180e+01
1.000000000000000000e+02,9.500000000000000000e+01
